category,car_name,image_url,2025-09-23
Premium,Nissan Skyline GT-R (R32) Pandem Chase Modern Classics 1:64 HRW01 Black,https://retromagaz.com/uploads/products/ab/d5/site_foem35bih_8b899c9a.webp,6499.0
Matchbox,Porsche Taycan GTS Sport Turismo Moving Parts 1:64 FWD28/HVM84 Red,https://retromagaz.com/uploads/products/c5/98/site_fnb9rlklf_f9e8b570.webp,349.0
Matchbox,1995 Volkswagen Golf MK3 Moving Parts 1:64 FWD28/HVN08 Blue,https://retromagaz.com/uploads/products/05/af/site_fnbak06hg_a11a36c6.webp,379.0
Premium,1975 Chevrolet Monte Carlo Red Line Club RLC 1:64 HWF19 Teal,https://retromagaz.com/uploads/products/ff/d4/site_fo2kiukvo_d3f46409.webp,2699.0
Premium,Porsche 911 GT2 EVO 993 Advan Elite 64 1:64 HWR94 Black,https://retromagaz.com/uploads/products/db/56/site_fqrs8tprj_59080e79.webp,1799.0
Premium,2шт Porsche 993 GT2 / 718 Cayman GT4 2-Packs 1:64 HRR82 Yellow,https://retromagaz.com/uploads/products/4f/91/site_fr1mga767_c421494a.webp,1199.0
MainLine,Volkswagen Caddy Surf's Up 1:64 JCB69 Red,https://retromagaz.com/uploads/products/57/38/site_fsvi2m25t_fcbafa8e.webp,259.0
Super Treasure Hunt,Porsche 911 Rallye Super Treasure Hunt STH Safari 1:64 JBC41 Green,https://retromagaz.com/uploads/products/80/ae/site_fti1tlpcf_be7cf2b5.webp,2899.0
Team Transport,2шт 2023 Land Rover Defender 110 / Jaguar Mk1 та Транспортер Rally Trailer Team Transport 1:64 JBM29 Silver,https://retromagaz.com/uploads/products/9d/b0/site_fr84adpuc_f60fb9f2.webp,1199.0
Team Transport,2шт '18 Toyota 4Runner / '89 Supra та Транспортер Open Trailer Team Transport 1:64 HRV37 Grey,https://retromagaz.com/uploads/products/75/1e/site_fr84son6j_9903ba7d.webp,1299.0
Matchbox,Porsche Cayman European Streets 1:64 JCH22 Red,https://retromagaz.com/uploads/products/11/8a/site_frp31noql_22d39095.webp,239.0
Premium,1986 Nissan 720 King Cab Red Line Club RLC 1:64 HMY26 Purple,https://retromagaz.com/uploads/products/9b/6c/site_flespq3d5_9cb7207d.webp,2899.0
Super Treasure Hunt,Mazda 787B Super Treasure Hunt STH Race Day 1:64 HTF39 Orange,https://retromagaz.com/uploads/products/cb/51/site_fletfldgn_c86562f9.webp,2399.0
Super Treasure Hunt,'77 Pontiac Firebird T/A Super Treasure Hunt STH Muscle Mania 1:64 HTF40 Black,https://retromagaz.com/uploads/products/d1/e8/site_flet7d9ts_1bd8ddc7.webp,2199.0
Matchbox,1970 Volkswagen T2 Bus Germany 1:64 HVT70/HVV22 Red,https://retromagaz.com/uploads/products/8a/c6/site_fle4e6b2j_67c2d8f0.webp,379.0
Matchbox,Велике Місто Matchbox '15 Mercedes-Benz G-Class Special Edition 1:64 HJF43 Blue,https://retromagaz.com/uploads/products/83/5b/site_fljug740k_529489c1.webp,299.0
Super Treasure Hunt,'96 Nissan 180SX Type X Super Treasure Hunt STH The `90S 1:64 HTF41 Blue,https://retromagaz.com/uploads/products/c9/3f/site_fle4810oo_ef49050a.webp,2699.0
Premium,2011 Porsche 911 GT3 RS Forza Motorsport 1:64 DWJ93 Silver,https://retromagaz.com/uploads/products/08/e9/site_flkma6s4l_3f440a93.webp,999.0
Treasure Hunts,Bone Shaker Treasure Hunts Track Champs 1:64 HTF24 White,https://retromagaz.com/uploads/products/30/3e/site_flq6a0ohp_2026dd5f.webp,249.0
MainLine,'78 Porsche 935-78 Ultra Hots 1:64 HDG52/HRX11 Silver,https://retromagaz.com/uploads/products/79/5a/site_flqvlctrc_e1265d1d.webp,349.0
Matchbox,Volkswagen Golf GTI Germany 1:64 HVV05/HVV34 Black,https://retromagaz.com/uploads/products/20/7a/site_fmhgroekf_dd71507c.webp,299.0
Diorama,4шт Nissan Skyline GT-R (BNR32) / (BCNR33) / (BNR34) / Retro Rig Diorama 1:64 GRN86 White,https://retromagaz.com/uploads/products/11/23/site_fmhhc9rej_1389533f.webp,4299.0
Diorama,4шт Volkswagen Jetta MK3 / '70 Dodge Charger R/T / Toyota Supra / Carry On Fast & Furious Diorama 1:64 GMH41 White,https://retromagaz.com/uploads/products/81/45/site_fmhhr4fuq_3352ba21.webp,3399.0
Matchbox,'59 Volkswagen Microbus Chase Moving Parts 1:64 HVN22 Orange,https://retromagaz.com/uploads/products/73/af/site_fmhi9d332_3716a515.webp,2799.0
Premium,The Simpsons Family Car Rep. Entertainment 1:64 DWJ90 Pink,https://retromagaz.com/uploads/products/7d/60/site_fmi98d3bl_be4531b2.webp,1749.0
Premium,Ecto-1 Ghostbusters Rep. Entertainment 1:64 DWJ72 White,https://retromagaz.com/uploads/products/65/6c/site_fmi9h2t4n_3e584eed.webp,1199.0
